track_id,track_name,track_artist,lyrics,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language
2lPACBENza3HRYBvQPOdWT,Crazy Crazy Nights,KISS,"Whoow! Here's a little song for everybody out there People try to take my soul away But I don't hear the rap that they all say They try to tell us we don't belong That's alright, we're millions strong This is my music, it makes me proud These are my people and this is my crowd These are crazy, crazy, crazy, crazy nights These are crazy, crazy, crazy, crazy nights Sometimes days are so hard to survive A million ways to bury you alive The sun goes down like a bad bad dream You're wound up tight, gotta let off steam They say they can break you again and again If life is a radio, turn up to ten These are crazy, crazy, crazy, crazy nights These are crazy, crazy, crazy, crazy nights Yeah, woo! NA And they try to tell us that we don't belong But that's alright, we're millions strong You are my people, you are my crowd This is our music, we love it loud Yeah, and nobody's going to change me 'Cause that's who I am These are crazy, crazy, crazy, crazy nights (Oh yeah) These are crazy, crazy, crazy, crazy nights (Woah-oh) These are crazy, crazy, crazy, crazy nights (Yeah-yeah) These are crazy, crazy, crazy, crazy nights (Hey) These are crazy, crazy, crazy, crazy nights (Well, yeah) These are crazy, crazy, crazy, crazy nights (Come on) These are crazy, crazy, crazy, crazy nights These are crazy, crazy, crazy, crazy nights",2,35LnYSwPbgGPQSXNTjpOO8,Old Skool Of Rock,2007-06-08,Hard Rock Classics 1967-1991 (Party Edition),1NIX36ZFWEtgXSbSNghoue,rock,hard rock,0.583,0.884,7,-5.18,1,0.0631,0.493,0,0.436,0.794,121.903,225160,en
2LQMEzryklBEgQQE3X6Puz,Dale Don Dale,Don Omar,"NA Gocho! Don, Don! (M-V-P) Dale, dale Don, dale Pa' que se muevan las gyales Pa' activar Los Anormales Y al que se resbale, ¡Buster, dale! Dale-e-e, dale Don, dale Pa' que se muevan las gyales Pa' activar Los Anormales Y al que se resbale (¡Buster, dale!) Mírala cómo maquina, pa' pillarla en una esquina Como ron, qué fina, tremenda asesina Se peina y se guilla, se viste y se maquilla Tranquila, chiquilla, o te siento en mi silla Hoy tú vas a ser mía, el Don te desafía Seguro en mi vía, cuida'o si te tira' Y si tu novio se activa, yo activo la guerrilla Y si el Buster te lo pilla no le va a dar ni cosquilla' Dale, dale Don, dale Pa' que se muevan las gyales Pa' activar Los Anormales Y al que se resbale, ¡Buster, dale! Dale-e-e, dale Don, dale Pa' que se muevan las gyales Pa' activar Los Anormales Y al que se resbale (¡Buster, dale!) Me dicen, mami, que esta noche tú está' al garete(Dale papi, que estoy suelta como gabete) Te andan cazando el Buster y los mozalbetes(Que se tiren, que estoy suelta como gabete) Hay una fila 'e charlatanes pa' darte fuete(Que se alisten, que estoy suelta como gabete) Entonces, tírate bien suelta como gabete(Dale Omar, que estoy suelta como gabete) Me dicen, mami, que esta noche tú está' al garete(Dale papi, que estoy suelta como gabete) Te andan cazando el Buster y los mozalbetes(Que se tiren, que estoy suelta como gabete) Hay una fila 'e charlatanes pa' darte fuete(Que se alisten, que estoy suelta como gabete) Entonces, tírate bien suelta como gabete(Dale Omar, que estoy suelta como gabete) Yo soy su gato, ella es mi gata en celo Quiere buscar rebuleo del bueno Quiere fingir que no le gusta el blin-blineo Y cuando canto va hasta abajo con mi perreo Por ahí anda su novio en un fantasmeo Es verdad que esta noche va a haber un tiroteo Dile que yo ando con mis gatos en el patrulleo (Y al que se lamba jura'o me lo llevo) Dale, dale Don, dale Pa' que se muevan las gyales Pa' activar Los Anormales Y al que se resbale, ¡Buster, dale! Dale-e-e, dale Don, dale Pa' que se muevan las gyales Pa' activar Los Anormales Y al que se resbale (¡Luney Tunes, dale!) Me dicen, mami, que esta noche tú está' al garete(Dale papi, que estoy suelta como gabete) Te andan cazando el Buster y los mozalbetes(Que se tiren, que estoy suelta como gabete) Hay una fila 'e charlatanes pa' darte fuete(Que se alisten, que estoy suelta como gabete) Entonces, tírate bien suelta como gabete(Dale Omar, que estoy suelta como gabete) Me dicen, mami, que esta noche tú está' al garete(Dale papi, que estoy suelta como gabete) Te andan cazando el Buster y los mozalbetes(Que se tiren, que estoy suelta como gabete) Hay una fila 'e charlatanes pa' darte fuete(Que se alisten, que estoy suelta como gabete) Entonces, tírate bien suelta como gabete(Dale Omar, que estoy suelta como gabete) Luny Tunes! Cheka! Y Noriega! M-V-P! No hay pa' nadie, pa' No hay pa' nadie, pa' Don! (Omar)",12,3hKDEHUzH1GmdohemezsEw,"The Gold Series ""The Last Don""",2004-01-01,Latin/Hip Hop/Dancehall/Soca,2rg9LCyvaMQvnCE2hVndpR,latin,latin hip hop,0.8220000000000001,0.809,2,-7.84,1,0.0845,0.0249,7.019999999999999e-4,0.0887,0.8029999999999999,95.025,212400,es
2lQsQkVilu43cjz7ZLeswm,Sunrise,On June,"Monday morning, saw my darling Out the window, where leaves were falling Went outside and started talking 'Til the evening, the sun was falling I pulled her towards me in that moment Yeah, we don't care if the record player's broken So groove, groove in the moonlight Just me and you tonight Now move your body with mine And we gon' dance until the sunrise Until the sunrise And we gon' dance until the sunrise Until the sunrise NA On the highway, when cars were honking We pulled over, started walking People dancing and traffic stopping I pulled her towards me in that moment Yeah, we don't care if the car radio's broken So groove, groove in the moonlight Just me and you tonight Now move your body with mine And we gon' dance until the sunrise Until the sunrise And we gon' dance until the sunrise Until the sunrise So groove, groove in the moonlight Just me and you tonight Now move your body with mine And we gon' dance until the sunrise Until the sunrise Now move your body with mine And we gon' dance until the sunrise Until the sunrise",5,6CbnzlVvTFRUv5Wp0rBMB5,Sunrise,2016-10-28,Tropical Morning,0vbtbmyihyvl2MVYrdKdGw,latin,tropical,0.621,0.633,9,-7.3679999999999986,1,0.21,0.358,5.400000000000002e-6,0.101,0.438,116.206,192414,en
2lRhq1ZfHNiaVNHkTWeXUv,Long Live Rock N Roll,Rainbow,At the end of a dream If you know where I mean When the mist just starts to clear In a similar way At the end of today I could feel the sound of writing on the wall It cries for you It's the least that you can do Like a spiral on the wind I can hear it screamin' in my mind Long live rock and roll Long live rock 'n' roll Long live rock and roll In a different time When the words didn't rhyme You could never quite be sure Then on with the change It was simple but strange And you knew the feeling seemed to say it all It cries for you It's the least that you can do Like a spiral on the wind I can hear it screamin' in my mind Long live rock and roll Long live rock 'n' roll Long live rock and roll I'm losing control Long live rock and roll Long live rock 'n' roll Long live rock and roll If you suddenly see What has happened to me You should spread the word around And tell everyone here That it's perfectly clear They can sail above it all on what they've found It cries for you It's the best that you can do Like a sound that's everywhere I can hear it screaming through the air Long live rock and roll Long live rock 'n' roll Long live rock and roll Let it live Let it live Let it live Long live rock and roll Long live rock 'n' roll Long live rock and roll That is how I weight the perfect playing this Long live rock and roll Long live rock 'n' roll Long live rock and roll,54,56JX1fNOjTa7Bj7G18nxSq,Long Live Rock N Roll (Deluxe Edition),1978,70s Hard Rock,6pZlZ20vt3aDjIKw98aBtQ,rock,hard rock,0.345,0.924,7,-7.767,0,0.0553,0.00376,0,0.122,0.434,142.378,261733,en
2LrvK045zLQyt4s9n1QSBA,Someone To Love You,Ruff Endz,"I picture that I can read your mind And tell you everything you're going through Baby I've tried to find, i've the reasons why You're alone and acting so cold Tell me how long you've been this way Maybe I can open up your heart See, I've been waiting all my life For someone just like you And I know you've been waiting too For someone to love you CHORUS All you need is someone who cares (Someone to love you) Someone who will always be there All you need to say is that You want me to be with you Girl I know you waited so long For someone to love you Baby I wish I could be there For every time you ever shed a tear Baby I hate to see a pretty girl like you Going through, the things that you do Girl I think you've gone for far too long Without a good man to make you smile How can I appeal to you and make you understand That I'm here when you're ready for Someone to love you CHORUS Baby you've been waiting for the man from all the fairy tales Or maybe just the man from all your dreams Try to think reality, Lets talk possibilities Cause girl you know you've waited for so long For someone to love you CHORUS All you need is someone... Repeat Chorus",48,3O41puuj47GO95r5IjuHW5,Someone To Love You,2002,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,0.637,0.6779999999999999,8,-2.21,1,0.0345,0.0543,0,0.0961,0.426,77.928,297360,en
2ls7Y9Xx07TqN7WjbT9sZD,Rock the Nation,Montrose,"All right! Come on, now! Ooh, yeah! Got it in me, I've got it in me Ain't gonna quit until it all comes out Gonna do it, ain't nothin' to it Just shake my hips, throw my head back and shout... Been a long education But my homework is done I'm gonna rock the nation Just-a wanna have fun, yeah! Gonna shake it and I ain't gonna break it I'm gonna show you what it's all about Got it in me, got it in me now Ain't gonna quit 'till it all comes out Been a long education But my homework is done I'm about to rock the nation Just a-wanna have fun Fun Oh, yeah! Have some fun! All across the nation Gonna run all across the nation Come on! Rock the nation Got it in me, oww.. Don't wanna quit until it all comes out Gonna shake it, ain't gonna break it I'm gonna show you what it's all about Been a long education But my homework is done I'm about to rock the nation Rock the nation Rock the nation Rock the Rock the Rock the Rock Nation Yeah!",40,2amSBnQhrVdXM6QJK2KBSE,Montrose,1973,Hard Rock Classics 1967-1991 (Party Edition),1NIX36ZFWEtgXSbSNghoue,rock,hard rock,0.456,0.912,9,-9.728,1,0.0398,0.0473,1.4099999999999998e-4,0.171,0.602,137.58100000000002,180667,en
2LskIZrCeLxRvCiGP8gxlh,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,"Oh-oh (Ooh, ooh)(Lil Pump Maluma, baby) Oh, woo-oh-oh, oh, ya-ah-aah Mally, Mally Mall Arms around you Te amo, mami, let me hold you Got my arms right around you, girl, oi Good lovin', arms all around you To make sure no one could harm you Damn, lil mami, let me have you, oi Yes, she drivin' me crazy (Yeah) I take drugs on the daily (Ooh) Pull out the 'Rari or the Mercedes (Which one?) Yeah, she got my heart racing, racing (Yeah) Foreign cars, foreign hoes Yeah, we got a lot of those (Ooh)10 bands on my Gucci coat (Ooh) 10 hoes in the studio (Huh) Yes, I'm gonna miss you though (Yuh) But I gotta let her go (Brr) Spanish bitches love the coke (Wow) Put my dick straight down her throat (Damn) I know that your baby daddy broke (Broke) Take your wife backstage at a festival Penthouse, 54th floor, let's go (Let's go) And my hotel came with a stripper pole Arms around you Te amo, mami, let me hold you Got my arms right around you, girl, oi Good lovin', arms all around you To make sure no one could harm you Damn, lil mami, let me have you, oi If you ever get to feel my touch Then you might never get enough Yes, I know you feel the ambiance (Hey) Love you like I'll never see you again Only real 'cause I'm not for pretend (No) Reaching out with your arms extended My love is emergency and I can sense the urgency (Ya-ah) Come, let me, woah-oh-oh-oh Your body is just for me (For me) It was like sorcery She left me like an alcoholic Arms around you Te amo, mami, let me hold you Got my arms right around you, girl, oi Good lovin', arms all around you To make sure no one could harm you Damn, lil mami, let me have you, oi Yeah, Maluma, baby (Dice) Ey, mama (Mamá), te espera un party en mi cama (Cama) Me encanta la forma en que me hablas (Hablas) Invita a tu amiga la Juana Pa' que fumemos como fumamos en La Habana Siempre andamos positivos Esa es la forma en que vivo, activo Que se joda el que no esté en lo mismo Yo disfruto mientras siga vivo Di que sí, que no te cuesta Si conmigo estás vestida de Chanel (Oh, yeah) Hasta los pies (Oh, yeah) Si tú te pones pa'l problema Yo me pongo como se tiene que ser De una vez, bebé, bebé (Maluma, baby) Arms around you Te amo, mami, let me hold you Got my arms right around you, girl, oi Good lovin', arms all around you To make sure no one could harm you Damn, lil mami, let me have you, oi Fx My name is",78,3FtwiRgtcCLAiKHDvoj7bO,Arms Around You (feat. Maluma & Swae Lee),2018-10-25,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-6,0.126,0.28800000000000003,104.969,198903,en
2LSt534Q45ncwgyd2sh2kK,YSL,Be Vis,"Saint Laurent czy stare kicksy Ja po prostu jestem sobą Nie dbam czy żurnaliści będą pisali dobre słowo Idę zawsze swoją drogą, padam, respię się na nowo Młoda nie patrz jak w obrazek, no bo takie jak ty znamy W klubie dla tych nieciekawych tylko jesteście jak damy Swoje ciało, żadne damy, gra gitara, nie zawracaj mi, mi Dzisiaj Tarantino mi kreuje myśli Trochę nowoczesne ale lubię vintage Ty rozumiesz mój styl, mała Nie mów nic tylko daj mi swoją hmm, zaraz I wybieraj co dziś jemy i pijemy Sam w szkole czekałem na Tetmajera Dookoła wiele, ale chcę na koncie zera W garażu ma stać ten Rollek albo Panamera Dzwoni do mnie ziomal, mówi żebym wpadł na melanż A ja mówię, ty no zaraz będę Chyba, że się zmienią plany albo wezmę cztery xanny Albo cały wieczór będę grał na Playce Wiesz, że niezdecydowany i leniwy jestem Ale jeśli czegoś nie mam to zdobędę Prędzej, chodź tu do mnie i mi pokaż co najlepsze, pokaż co najlepsze Suma różnic w nas jak Stonesi i Beatlesi Nie zmieniamy się wcale jak piątki i butelki Nadal tylko z Tobą w deszczu chcę ten Dirty Dancing Przeszedłem wiele nędzy, więc teraz chcę pieniędzy Lubię Cię bardziej niżeli Kanye West lubi Kanye West'a Czasem dopada mnie strach i pragnę Cię bardziej od powietrza Kartograf w umyśle mówi, że mapa chyba jest nie do przejścia Ty leczysz te rany co przebiły kevlar, ściągaj YSL, no i siedź ze mną tu całą noc Odłóżmy broń, nie mów mi stop, odejdzie zło Dalej popołudnie, potem przeleżymy cały dzień Oniryczny wampir no bo całe życie sen Naga prawda a nie Prada, ściągaj YSL, YSL, YSL, YSL Pod sceną więcej pali niż ma Hefner Pijany na hotel wracam po koncercie Panie Uber dowoź pizzę jak najprędzej Teraz tylko to się liczy, a stare problemy pieprzę Polećmy gdzieś, nie ma że nie Tylko teraz, teraz, tylko teraz, teraz, tylko teraz Lubię łamanie konwencji Z ziomalami palę sensi Moja niunia nie jak Stevie ale Channel Budzi buziakiem o 4 nad ranem Chyba na śniadanie będzie główne danie Później w planie całodniowe zamulanie Pełna szafa ale najlepiej w piżamie, najlepiej w piżamie Na rozpęd czarna kawa czy latte macchiato Nie nadążam za tym światem Ale kto mnie w tym zrozumie tak jak ty, mała Węże, które wiją się i syczą Mamy w poważaniu czy nas kochają czy nienawidzą Oni chcieli być na czasie, a kładą rękę na sikor Byli chwilę, ale słuch po nich zaginął Ta gra weryfikuje Cię bardzo szybko Zawsze zgodny z sumieniem no i familią A najbardziej w końcu muszę tutaj być Tej kobiety nie zamienię na inną Nie patrzę nawet na te modelki Bujam klubem no i bujam ulicą Skoro z niej wyrwałem te swoje sny Powoli przestaję być incognito Ale git, ale git, ale git Suma różnic w nas jak Stonesi i Beatlesi Nie zmieniamy się wcale jak piątki i butelki Nadal tylko z Tobą w deszczu chcę ten Dirty Dancing Przeszedłem wiele nędzy, więc teraz chcę pieniędzy Lubię Cię bardziej niżeli Kanye West lubi Kanye West'a Czasem dopada mnie strach i pragnę Cię bardziej od powietrza Kartograf w umyśle mówi, że mapa chyba jest nie do przejścia Ty leczysz te rany co przebiły kevlar, ściągaj YSL i siedź ze mną tu całą noc Odłóżmy broń, nie mów mi stop, odejdzie zło Dalej popołudnie, potem przeleżymy cały dzień Oniryczny wampir no bo całe życie sen Naga prawda a nie Prada, ściągaj YSL, YSL, YSL, YSL",50,4yEKP3rLnLmvSCJtQWoPdE,YSL,2019-12-04,Trap strefa,37i9dQZF1DWY3UKS6jvnxr,rap,trap,0.759,0.716,5,-5.097,0,0.0855,0.575,0,0.0968,0.569,120.047,258000,pl
2lT07B7yj0XFXdmeZJup7C,Twijfel,Fresku,"Songtekst van Fresku – ""Twijfel"" Ik ben fucking gelukkig, ik heb alles op een rijtje Elke avond kan ik lekker ballen met mijn meisje Mijn carrière gaat perfect, ik werk in een fabriek En doe met passie waar ik goed in ben, ik maak riemen nigger! Soms kan ik door mijn werk niet mijn ruggengraat bewegen Maar dat heb ik er voor over, ik hou mijn baas tevreden Alles is perfect, ik heb helemaal geen stress Heel mijn leven gaat te gek, shit wie hou ik voor de gek! Ik zweef in mijn gedachtes, alles is zo twijfelachtig Onzekerheid is een groot gedeelte van mijn karakter Soms lijkt het makkelijk voor me. Je ziet me blijven lachen Want ik verberg in feite mijn ware zijn met grappen Ik snap het even niet, hoe moet ik me voelen? Hoe moet ik me uiten? Je ziet me lachen met verdriet Mijn ouders zijn gescheiden, m'n moeder zit in de struggle En het is alweer een tijdje sinds ik papa heb gezien Had ik een slecht rapport gaf hij me klappen met de riem Dus om de zoveel maanden kreeg ik klappen met de riem Ik zat alleen maar in de les te tekenen Kreeg ik punten voor tekenen dan verdiende ik makkelijk een tien Ik had geen talent en mijn pa die was een beetje streng Hij zei me vaak verman jezelf, jongen wees een vent, je lijkt op je moeder Mama zei weer dat ik leek op hem Geen wonder dat ik tegenwoordig zo onzeker ben Ik geef mezelf bloot als ik een track tot leven breng Geef een pen en ik beschrijf voor jou wat ik beleef en denk Mijn shit is niet voor op TV bestemd Ik ben niet commercieel genoeg, ik rap niet alsof ik een player ben Nu heeft Gino ineens de meeste fans, voordat ik die Gino-shit deed Was ik als mezelf nog niet eens bekend En nu ben ik ineens de man? (huh?) nu komen rappers slijmen Maar ik voel me nog die domme nigger met die slechte cijfers Vele zeggen dat ze me tracks begrijpen, zeggen Fresku je brengt echte feiten Je inspireert me met teksten schrijven Ik ben geen zeikerd, het is fijn om die respect te krijgen Maar geld heb ik weinig, dus het is fijner om een cheque te krijgen Soms zit ik heel de dag voor de buis en bijna iedereen zijn clip ziet er patserig uit Dan denk ik: jongen wanneer zet jij stappen vooruit en pak je de buit ze lachen je uit Ik flip hem door, en maak dan ruzie met mijn vrouwtje Maakt het uit en loopt naar buiten, maar ik heb al spijt als de deur achter me sluit Ze is een lieve meid en ik wil er voor haar zijn Als deze bij me weg gaat spring ik voor de trein Ze zegt ik ben te dominant en ze heeft gelijk Door mijn onzekerheid raak ik deze meid zeker kwijt Gelukkig is ze lief, een engel vergeleken bij mijn ex Want die ex van mij ging regelmatig vreemd bij mij Sterker nog als je in Eindje een groepje niggers ziet staan Heeft ze op zijn minst met twee gebald en een gepijpt (tfoe!) Me mattie Chico zei me Fres vertrouw geen ene bitch Ze breekt je hart en dan begrijp je de betekenis Je bent wat je eet, sommige dagen eet ik niks Andere dagen een pizza slice en een beetje chips Ik zoek naar evenwicht mijn leven is zonder belevenis Mijn moeite levert niks, ik kan niet tegen dit Als alles tegen zit en ik van binnen sta te koken Kan alleen mijn ma me troosten, door mijn moeder gaat het over Maar ik zie mijn moeder huilen en ik raak mijn focus kwijt Maar houd mijn trots en veeg haar tranen weg zodra ze komen Ik twijfel of het beter wordt, maar zal het haar beloven Het komt wel goed geloof me, ze moet het maar geloven Ze houdt niks over en ik baal ervan Ik wil haar helpen, maar twijfel of ik mijn eigen huur betalen kan Ik werk en werk en soms vraag ik me af Moet ik zo een type zijn die ik beschrijf in 'slavengedrag' Ik verlies al mijn principes want ik baal elke dag Vandaar dat ik snak naar adem als ik slaap in de nacht Mentaal ben ik zwak, ik maak muziek want daar ligt mijn kracht Zo draag ik mijn lasten over naar mijn naasten Zodat ik niet verdwaal op mijn pad, want ik raak in de war En twijfel aan elke stap omdat falen niet mag, dus samengevat: Soms zit ik maar te denken en komt alles op me af En dan voel ik de stress, vandaar dat ik twijfel Het enige wat mij nu nog kan stoppen op het pad Die ik bewandel onderweg naar succes, is mijn eigen twijfel Voor zij die aan me twijfelen Twijfel je meer aan mij dan mij ik betwijfel het Eigenlijk weet ik niet wat ik moet op de wereld Maar ik ben er en ik zit alleen te twijfelen Voor alle mensen die twijfelen Kom je daarmee verder nee ik betwijfel het Eigenlijk weet niemand wat je moet op de wereld Maar je bent er en je moet niet zoveel twijfelen Nee, nee je moet niet zoveel twijfelen Nee, je moet niet zoveel twijfelen Dus voor zij die aan me twijfelen Twijfel je meer aan mij dan mij ik betwijfel het",44,0VPK9rRn6KeNwwFpKY6cnW,Fresku,2010-01-01,Hip-Hop 'n RnB,0275i1VNfBnsNbPl0QIBpG,rap,southern hip hop,0.654,0.917,10,-5.249,1,0.32,0.187,2.05e-6,0.0821,0.447,93.1,315893,nl
2ltjgZUx2DgxdYGxuyhNAd,Palm Beach,Vicente Garcia,"He came to the rescue of nothing in 1916 Standing on the frontline of mi Puerto Plata They met Wednesday night in the middle of Cofresí And then he fell in love with his caribbean mulata She said Slow down the rhythm We'll find a way He reminisces and sings Take me to Palm Beach Take me back Y bailémo este merengue apambichao Palm Beach I want to dance again With my young cayena in Palm Beach Take me back Y bailemo ese merengue apaciguao Palm Beach I wanna dance again with my morena en Palm Beach Take me back Take me back to Palm Beach Take me Back He came to rescue right when the Memphis met the sea The tidal wave just broke the heart of mi arahuaca So they sent him back where was meant to be He had to say goodbye to his caribbean mulata¡Ay en Quisqueya la bella se enamoró! De mi cibaeña se afició¡Que rebú! She said Slow down the rhythm We'll find a way He reminisces and sings Take me to Palm Beach Take me back Y bailémo este merengue apambichao Palm Beach I want to dance again With my young cayena in Palm Beach Take me back Y bailemo ese merengue apaciguao Palm Beach I wanna dance again with my young morena I wanna dance again with my young Cayena I wanna dance with her in the middle of Cofresí Cariñito apambichao Take me to Palm Beach Take me back Y bailemo' este merengue apambichao Palm Beach Como antes, cuando fuimos dos amantes Take me to Palm Beach Allá en la playa donde nos enamoramos Take me back Donde bajamos el tempo y nos acariciamos Palm Beach Fuimos suero ‘e miel de abeja pa' la güira y la tambora Para bailar junto a mi morena Take me back to Palm Beach Take me back, to the middle of Cofresí Take me back Won't you take me back Take me back to Palm Beach Won't you take me Take me back to Palm Beach",48,7gSN3OHB6q52ivR61esxSe,Candela,2019-05-24,Punto Tropical,37i9dQZF1DWZ1FUX6sM67g,latin,tropical,0.848,0.541,4,-9.305,1,0.0668,0.493,0,0.111,0.768,109.909,184907,en
