track_id,track_name,track_artist,lyrics,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language
5kz9GDBTX846OXwqWoyKzF,We Got The Beat,The Go-Go's,"See the people walking down the street Fall in line just watching all their feet They don't know where they wanna go But they're walking in time They got the beat They got the beat They got the beat, yeah They got the beat See the kids just getting out of school They can't wait to hang out and be cool Hang around 'til quarter after twelve That's when they fall in line They got the beat They got the beat Kids got the beat, yeah Kids got the beat Go-go music really makes us dance Do the pony puts us in a trance Do the watusi just give us a chance That's when we fall in line 'Cause we got the beat We got the beat We got the beat, yeah We got it We got the beat We got the beat We got the beat Everybody get on your feet We got the beat We know you can dance to the beat We got the beat Jumpin',get down We got the beat Round and round and round We got the beat We got the beat...",57,1L4HE00En7eNK74voVZums,Beauty And The Beat,1981-01-01,The Sound of Permanent Wave,4EYSGTuqe9cVfSVpX4gtGv,rock,permanent wave,0.5870000000000001,0.994,2,-5.61,1,0.045,0.155,0.0734,0.0319,0.481,151.941,153133,en
5kZRoc6Gz7u5eu4a0YM2LS,Reality - Radio Edit,Lost Frequencies,"Decisions as I go to anywhere I flow Sometimes I believe, at times I'm rational I can fly high, I can go low Today I got a million, tomorrow I don't know Decisions as I go to anywhere I flow Sometimes I believe, at times I'm rational I can fly high, I can go low Today I got a million, tomorrow I don't know Stop claiming what you own, don't think about the show We're all playing the same game, waiting on our loan We're unknown and known, special and a clone Hate will make you cautious, love will make you glow Make me feel the warmth, make me feel the cold It's written in our stories, it's written on the walls This is our call, we rise and we fall Dancing in the moonlight, don't we have it all? NA Decisions as I go to anywhere I flow Sometimes I believe, at times I'm rational I can fly high, I can go low Today I got a million, tomorrow I don't know Make me feel the warmth, make me feel the cold It's written in our stories, it's written on the walls This is our call, we rise and we fall Dancing in the moonlight, don't we have it all?",51,5WUXC8UZAuNWPJ6fbhMWTl,Reality,2015-07-10,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.731,0.639,9,-6.597,1,0.0359,0.0206,1.29e-5,0.0789,0.527,122.08,158474,en
5L0KDoZklMgs9GPoonneEl,Nice & Slow,Usher,"What you doing? Really? You know I'm coming over, right? (Now, baby, tell what you wanna do with me?) Now, you got it hot for me already, baby? Okay Be there in about... Uh, give me ten minutes Be ready Hey, wear that little thing I like, yeah (Now, baby, tell what you wanna do with me?) It's seven o'clock on the dot I'm in my drop top, cruising the streets I got a real pretty, pretty little thing that's waiting for me I pull up, anticipating Good love, don't keep me waiting I got plans to put my hands in places I never seen, girl, you know what I mean Let me take you to a place nice and quiet There ain't no one there to interrupt, ain't gotta rush I just wanna take it nice and slow (Now, baby, tell me what you wanna do with me?) See, I've been waiting for this for so long We'll be making love until the sun comes up, baby I just wanna take it nice and slow (Now, baby, tell me what you wanna do with me?) Now here we are, driving round town Contemplating where I'm gonna lay you down Girl, you got me saying, ""my, my, my (my) ""I wish that I (I) could pull over And get this thing started right now"" I wanna do something freaky to you, baby I don't think they heard me I, I wanna do something freaky to you, baby So call out my name They call me U-S, H-E-R, R-A, Y-M, O-N-D Now, baby, tell me what you wanna do with me? Got a nigga feenin' like Jodeci Every time that you roll with me, holding me Trying to get control of me, nice and slowly You know, never letting go, never messing up the flow This is how the hook go, come on Let me take you to a place nice and quiet There ain't no one there to interrupt, ain't gotta rush I just wanna take it nice and slow (Now, baby, tell me what you wanna do with me?) See, I've been waiting for this for so long We'll be making love until the sun comes up, baby I just wanna take it nice and slow (Now, baby, tell me what you wanna do with me?) Now tell me, do you wanna get freaky? 'Cause I'll freak you right, I will I'll freak you right, I will I'll freak you like no one has ever, ever made you feel I'll freak you right, I will I'll freak you right, I will I'll freak you, freak you like no one has ever made you feel, yeah Now, baby, tell me what you wanna do with me? Now, baby, tell me what you wanna do with me? What you doing? Really? You know I'm coming over, right? (Now, baby, tell what you wanna do with me?) Now, you got it hot for me already, baby? Okay Be there in about... Uh, give me ten minutes Be ready Hey, wear that little thing I like, yeah (Now, baby, tell what you wanna do with me?) It's seven o'clock on the dot I'm in my drop top, cruising the streets I got a real pretty, pretty little thing that's waiting for me I pull up, anticipating Good love, don't keep me waiting I got plans to put my hands in places I never seen, girl, you know what I mean Let me take you to a place nice and quiet There ain't no one there to interrupt, ain't gotta rush I just wanna take it nice and slow (Now, baby, tell me what you wanna do with me?) See, I've been waiting for this for so long We'll be making love until the sun comes up, baby I just wanna take it nice and slow (Now, baby, tell me what you wanna do with me?) Now here we are, driving round town Contemplating where I'm gonna lay you down Girl, you got me saying, ""my, my, my (my) ""I wish that I (I) could pull over And get this thing started right now"" I wanna do something freaky to you, baby I don't think they heard me I, I wanna do something freaky to you, baby So call out my name They call me U-S, H-E-R, R-A, Y-M, O-N-D Now, baby, tell me what you wanna do with me? Got a nigga feenin' like Jodeci Every time that you roll with me, holding me Trying to get control of me, nice and slowly You know, never letting go, never messing up the flow This is how the hook go, come on Let me take you to a place nice and quiet There ain't no one there to interrupt, ain't gotta rush I just wanna take it nice and slow (Now, baby, tell me what you wanna do with me?) See, I've been waiting for this for so long We'll be making love until the sun comes up, baby I just wanna take it nice and slow (Now, baby, tell me what you wanna do with me?) Now tell me, do you wanna get freaky? 'Cause I'll freak you right, I will I'll freak you right, I will I'll freak you like no one has ever, ever made you feel I'll freak you right, I will I'll freak you right, I will I'll freak you, freak you like no one has ever made you feel, yeah Now, baby, tell me what you wanna do with me? Now, baby, tell me what you wanna do with me?",63,0fQdoem8dnrl80YcZzQ8f0,My Way,1997-09-16,urban contemporary,7en9i0JMyJlRFX4r4XrXXx,r&b,urban contemporary,0.8190000000000001,0.299,5,-11.964,0,0.122,0.153,0,0.3,0.515,121.913,227907,en
5L0X8T8HNaUAIYw1oofg1M,ADHD,Joyner Lucas,"It kinda feels like, I'm dyin' on the inside It kinda feels like, I been tryna get by And I been this way since day one I don't need no medication No, I don't need no drugs Or maybe I'm different, and maybe my ADHD got me trippin' And maybe I'm just everything that you missin', yeah I feel like I'm dying inside Why do I seem crazy? Someone save me (Save me) You can't blame me (Blame me) It's my ADHD, yeah My mind racin', I been paranoid Overthinkin', maybe that's a void (Woo, woo) Don't cut me off like I don't have a voice I think I was born different, I ain't really have a choice, yeah (Yeah) Class in session, you a hour late (Hour late) Don't play with me, today is not the day (Oh yeah) Pay attention, I am not deranged I could tell you what I'm thinkin', I just don't know how to say it Maybe I get on your nerves, I mean what I say (Oh yeah) I been a man of my words, eon wide awake (Yeah, yeah) Maybe a lil' disturbed, but that's just me You don't bleed the blood I bleed I wear my heart on my sleeve, nigga And I been this way since day one (And I been this way since day one) I don't need no medication (I don't need no medication) No, I don't need no drugs Or maybe I'm different, and maybe my ADHD got me trippin' And maybe I'm just everything that you missin', yeah I feel like I'm dying inside Why do I seem crazy? Someone save me (Save me) You can't blame me (Blame me) It's my ADHD, yeah It kinda feels like, I'm dying on the inside It kinda feels like, I been tryna get by Yipee-yipee-yih-yoh-yipee-yah-yah Staring at the fire, kumbaya I'ma take you higher, take you higher I'ma take you higher, take you higher Too many things on my head (Yeah, yeah), what am I thinkin'? How come I can't go sleep in my bed? (Oh, yeah) I hear them talking, everyone stranger They leave me for dead (Oh, yeah) 'Cause they want me gone (Yeah) This that shit I be on (Yeah) Ain't no one to lean on (Yeah) And you know I been this way since day one (I been this way since day one) I don't need no medication (I don't need no medication) Or maybe I'm on one Or maybe I'm different, and maybe my ADHD got me trippin' And maybe I'm just everything that you missin', yeah I feel like I'm dying inside (Inside) Why do I seem crazy? (Crazy, yeah, yeah) Someone save me (Save me) You can't blame me (Blame me) It's my ADHD, yeah It kinda feels like, I'm dyin' on the inside",76,3j2L4sg2WK22mSWKkQ62Ml,ADHD,2019-09-12,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.574,0.7879999999999999,10,-6.778,1,0.0638,0.0156,0,0.37,0.34,83.94,205803,en
5l1VdTIOuBj1Nz84BDiZHV,Burden,TENDER,"I won't be somebody else But I know that you want me to I don't need nobody's help Never felt so close to you Be my burden,  be my burden Be my burden, be my burden When it's all dried up And your love is spent When I tried to stop before you went My heart is broken, was that my token? But love is certain, oh be my burden And through the plumes of smoke You let the water soak in And I'll ask you what you've done Collect the settled dust My vision won't adjust when I was not the only one Be my burden, be my burden Be my burden, be my burden When it's all dried up And your love is spent When I tried to stop before you went My heart is broken, was that my token? But love is certain, oh be my burden",28,2NyM0o11IYm3lQ8RM1A5ZS,Tender EP II,2016-02-12,Music&Other Drugs,5jROYSZSL7cO0jGAqkPx7C,pop,indie poptimism,0.507,0.535,9,-8.074,0,0.0375,0.0264,0.607,0.162,0.348,85.96600000000002,202868,en
5l2U8f2VuOCXYS501z4cOw,Best Days,Fuzo,INTRO - 30 Seconds Summer Nights Flashing Lights When the dj's spinning Everbody out on the dancefloor is singing It gives you love It gives you life The beat gets better Everbody out on the dancefloor is singing Heee hooo Weee hooo Summer love makes me feel alright These are the best days of my life Heee hooo Weee hooo Summer love makes me feel alright These are the best days of my life Of my life (x8) (BEAT DROP) Give me love (x8) (FADE IN) Summer Nights Flashing Lights When the dj's spinning Everbody out on the dancefloor is singing It gives you love It gives you life The beat gets better Everbody out on the dancefloor is singing Heee hooo Weee hooo Summer love makes me feel alright These are the best days of my life Heee hooo Weee hooo Summer love makes me feel alright These are the best days of my life Of my life (x8) (BEAT DROP),1,0ebxsCtTVEiZS1iop4Ytsm,Best Days,2020-01-17,ALPAS Music Festival,6pPpLz42hUkr8gbMirkAEl,edm,big room,0.773,0.92,8,-2.213,0,0.141,0.14300000000000002,0.868,0.205,0.219,125.996,187619,en
5l3CML2OnzfNs5RfVgbcLt,Talk Dirty (feat. 2 Chainz),Jason Derulo,"NA (Jason, haha Jason Derulo) Haha, get Jazzy on 'em I'm that flight that you get on, international First-class seat on my lap, girl, riding comfortable (oh yeah) Ha 'cause I know what da girl dem need, New York to Haiti I got lipstick stamps on my passport, you make it hard to leave Been around the world, don't speak the language (uh-huh) But your booty don't need explaining (uh-huh) All I really need to understand is when you (uh-huh) Talk dirty to me Talk dirty to me (what?) Talk dirty to me Talk dirty to me (what?) Get Jazzy on 'em You know the words to my songs, no habla inglés (oh) Our conversations ain't long, but you know what is I know what the girl dem want, London to Taiwan I got lipstick stamps on my passport, I think I need a new one Been around the world, don't speak the language (uh-huh) But your booty don't need explaining (uh-huh) All I really need to understand is when you (uh-huh) Talk dirty to me Talk dirty to me (what?) Talk dirty to me Talk dirty to me (what?) Uno: met a friend in Rio Dos: she was all on me-o Tres: we could ménage à three-o Cuatro, oh, yeah (2 Chainz) Dos Cadenas, close to genius Sold out arenas, you can suck my penis (ooh) Gilbert Arenas, guns on deck (Deck) Chest to chest, tongue on neck (neck) International oral sex Every picture I take, I pose a threat (Yeah) Bought a jet, what do you expect? Her pussy so good I bought her a pet (oh, oh, oh, oh) Anyway, every day I'm trying to get to it Got her saved in my phone under ""Big Booty"" (ha-ha) Anyway, every day I'm trying to get to it Got her saved in my phone under ""Big Booty"" Been around the world, don't speak the language (uh-huh) But your booty don't need explaining (uh-huh) All I really need to understand is when you (uh-huh) Talk dirty to me You do Talk dirty to me (what?) Yeah, yeah Talk dirty to me Talk to me Talk dirty to me (what?) Ooh, oh, yeah Get Jazzy on 'em What? I don't understand NA (Jason, haha Jason Derulo) Haha, get Jazzy on 'em I'm that flight that you get on, international First-class seat on my lap, girl, riding comfortable (oh yeah) Ha 'cause I know what da girl dem need, New York to Haiti I got lipstick stamps on my passport, you make it hard to leave Been around the world, don't speak the language (uh-huh) But your booty don't need explaining (uh-huh) All I really need to understand is when you (uh-huh) Talk dirty to me Talk dirty to me (what?) Talk dirty to me Talk dirty to me (what?) Get Jazzy on 'em You know the words to my songs, no habla inglés (oh) Our conversations ain't long, but you know what is I know what the girl dem want, London to Taiwan I got lipstick stamps on my passport, I think I need a new one Been around the world, don't speak the language (uh-huh) But your booty don't need explaining (uh-huh) All I really need to understand is when you (uh-huh) Talk dirty to me Talk dirty to me (what?) Talk dirty to me Talk dirty to me (what?) Uno: met a friend in Rio Dos: she was all on me-o Tres: we could ménage à three-o Cuatro, oh, yeah (2 Chainz) Dos Cadenas, close to genius Sold out arenas, you can suck my penis (ooh) Gilbert Arenas, guns on deck (Deck) Chest to chest, tongue on neck (neck) International oral sex Every picture I take, I pose a threat (Yeah) Bought a jet, what do you expect? Her pussy so good I bought her a pet (oh, oh, oh, oh) Anyway, every day I'm trying to get to it Got her saved in my phone under ""Big Booty"" (ha-ha) Anyway, every day I'm trying to get to it Got her saved in my phone under ""Big Booty"" Been around the world, don't speak the language (uh-huh) But your booty don't need explaining (uh-huh) All I really need to understand is when you (uh-huh) Talk dirty to me You do Talk dirty to me (what?) Yeah, yeah Talk dirty to me Talk to me Talk dirty to me (what?) Ooh, oh, yeah Get Jazzy on 'em What? I don't understand NA (Jason, haha Jason Derulo) Haha, get Jazzy on 'em I'm that flight that you get on, international First-class seat on my lap, girl, riding comfortable (oh yeah) Ha 'cause I know what da girl dem need, New York to Haiti I got lipstick stamps on my passport, you make it hard to leave Been around the world, don't speak the language (uh-huh) But your booty don't need explaining (uh-huh) All I really need to understand is when you (uh-huh) Talk dirty to me Talk dirty to me (what?) Talk dirty to me Talk dirty to me (what?) Get Jazzy on 'em You know the words to my songs, no habla inglés (oh) Our conversations ain't long, but you know what is I know what the girl dem want, London to Taiwan I got lipstick stamps on my passport, I think I need a new one Been around the world, don't speak the language (uh-huh) But your booty don't need explaining (uh-huh) All I really need to understand is when you (uh-huh) Talk dirty to me Talk dirty to me (what?) Talk dirty to me Talk dirty to me (what?) Uno: met a friend in Rio Dos: she was all on me-o Tres: we could ménage à three-o Cuatro, oh, yeah (2 Chainz) Dos Cadenas, close to genius Sold out arenas, you can suck my penis (ooh) Gilbert Arenas, guns on deck (Deck) Chest to chest, tongue on neck (neck) International oral sex Every picture I take, I pose a threat (Yeah) Bought a jet, what do you expect? Her pussy so good I bought her a pet (oh, oh, oh, oh) Anyway, every day I'm trying to get to it Got her saved in my phone under ""Big Booty"" (ha-ha) Anyway, every day I'm trying to get to it Got her saved in my phone under ""Big Booty"" Been around the world, don't speak the language (uh-huh) But your booty don't need explaining (uh-huh) All I really need to understand is when you (uh-huh) Talk dirty to me You do Talk dirty to me (what?) Yeah, yeah Talk dirty to me Talk to me Talk dirty to me (what?) Ooh, oh, yeah Get Jazzy on 'em What? I don't understand",67,1OdcBxCNY52OXH0r4odXqP,Tattoos,2013-09-10,Electropop - Pop,5TiiHps0hNCyQ6ijVkNZQs,pop,electropop,0.76,0.652,6,-7.3210000000000015,1,0.232,0.0348,0,0.307,0.759,100.315,177685,en
5L3FE4WEDdQ0xZYVdN7uvE,For Me,WAPLAN,"I've been trying to win you over from the start But I haven't gotten very far All along I've been trying to be someone else Been too afraid to be myself 'Cause you got that one in a million look in your eyes You make the stars wanna fall out of the sky I've been going crazy Can't stop thinking 'bout you baby All I wanna do is get close to you Before I run out of time I'll be your everything If you can love me for me Give you whatever you need If you can love me for me A promise I'll never leave you baby Where you are is where I'll be If you can love me for me Love me, love me Love me for me Love me, love me Love me for me All I need is a little bit of your touch (Of your touch) Your fingertips, they light me up (Light me up, up, up) If you give me a taste of your kiss (Just a taste of your kiss) I won't ever be able to resist 'Cause you got that one in a million look in your eyes You make the stars wanna fall out of the sky I've been going crazy Can't stop thinking 'bout you baby All I wanna do is get close to you Before I run out of time I'll be your everything If you can love me for me Give you whatever you need If you can love me for me A promise I'll never leave you baby Where you are is where I'll be If you can love me for me Love me, love me Love me for me Love me, love me Love me for me I'll be your everything, darling Give you whatever you need, you know I will A promise I'll never leave you baby Where you are is where I'll be If you can love me... Love me for me (Yeah) Love me, love me Love me for me Love me, love me (Love me, love me, love me) Love me for me",31,12ecSuUDUR3oeALAZfwQC1,For Me,2019-10-30,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.706,0.7340000000000001,0,-4.623,1,0.0324,0.0229,0,0.112,0.395,99.999,221100,en
5l3iCMN9GLxofclApZXcmR,Baba O'Riley,The Who,"NA Out here in the fields, I fight for my meals I get my back into my living I don't need to fight to prove I'm right I don't need to be forgiven, yeah, yeah, yeah, yeah, ye-ah NA Don't cry, don't raise your eye It's only teenage wasteland Sally, take my hand, we'll travel south 'cross land Put out the fire and don't look past my shoulder The exodus is here, the happy ones are near Let's get together before we get much older Teenage wasteland, it's only teenage wasteland Teenage wasteland, oh, yeah Teenage wasteland They're all wasted! NA",2,1jkd5zta1g1eFz6zuzupyW,Greatest Hits,2009-12-21,80s / Classic Rock,29dTrOurPDrMcrnio2q6hZ,rock,classic rock,0.409,0.691,5,-9.538,1,0.0377,0.344,0.409,0.229,0.156,116.965,301200,en
5l43cvpvx3zpInfzD6j2UL,It's In The Mornin,Robin Thicke,"I'm in the mood for lovin' We'll be touchin, We'll be huggin I'm in the mood for lovin' We'll get into.. It's in the morning I wanna touch It's in the morning I wanna love you It's in the morning no interruptions It's in the morning, Sex in the morning It's in the morning I wanna touch It's in the morning I wanna love you It's in the morning no interruptions Sex in the morning, Sex in the morning You know I love it first thing Cuz you just let it marinate, let it marinate I'll wait for you to open your eyes Look at me and smile You know what I want do You slowly pull down the sheets to reveal what you keeping wide I can't push sleeping anymore and you got the hottest body I got the hottest hottie Let me put some cream in your coffee It's in the morning I wanna touch It's in the morning I wanna love you It's in the morning no interruptions It's in the morning, Sex in the morning It's in the morning I wanna touch It's in the morning I wanna love you It's in the morning no interruptions Sex in the morning, Sex in the morning Spin this, bubble like a chemist Baby said she been a menace, like Dennis So I'm up in this, rack-et like a tennis Don't interrupt me baby boo cuz I ain't finished Real spendin, feel how I'm gettin' it You girlfriends is jealous cuz Boss Dogg ain't hittin' it Early in the morning makin breakfast in the kit-nen After ya finished you bout to get the din-nen I'm in the mood for lovin we'll get into It's in the morning- Handle ya business Physical with the fitness Can I get a witness? Tremendous, splendid Ya hittin it, and bitten it Done that, been there Out that, In there Yea Your sex in the morning, it feels so good Your sex in the morning, it feels so good And I'm so horny for your body girl Wrap your legs around my back Get it get it yup yup, you got it girl It's in the morning I wanna touch It's in the morning I wanna love you (I wanna touch you) It's in the morning no interruptions It's in the morning, Sex in the morning (Sex in the morning) It's in the morning I wanna touch (I wanna touch you) It's in the morning I wanna love you (I wanna love you) It's in the morning no interruptions (Ooo) Sex in the morning, Sex in the morning (Sex in the morning)",0,2tCHYrEj07b7ZHxLOTpE5X,Sex Therapy: The Experience,2009-01-01,Neo-Soul Essentials,0DIwi1dMI59NItQtiNcevy,r&b,neo soul,0.604,0.631,2,-8.006,1,0.312,0.417,0,0.118,0.53,79.094,181427,en
